dataset,model,calibrator,auc_mean,auc_std,ece_mean,ece_std,brier_mean,brier_std,mce_mean,cal_slope_mean
Breast Cancer,Decision Tree,Beta,0.9167,0.0445,0.0675,0.036,0.0674,0.0334,0.2298,0.3291
Breast Cancer,Decision Tree,Isotonic,0.9167,0.0445,0.0662,0.0365,0.0674,0.0334,0.2131,0.3289
Breast Cancer,Decision Tree,Platt,0.9167,0.0445,0.0444,0.0311,0.065,0.0326,0.1945,0.8319
Breast Cancer,Decision Tree,Uncalibrated,0.9167,0.0445,0.0662,0.0365,0.0674,0.0334,0.2131,0.3289
Breast Cancer,Gradient Boosting,Beta,0.9923,0.0106,0.0396,0.0196,0.0309,0.0202,0.559,0.7479
Breast Cancer,Gradient Boosting,Isotonic,0.9876,0.0155,0.0402,0.0211,0.0307,0.0209,0.5952,0.7207
Breast Cancer,Gradient Boosting,Platt,0.9923,0.0106,0.044,0.0135,0.0325,0.022,0.6352,1.2396
Breast Cancer,Gradient Boosting,Uncalibrated,0.9923,0.0106,0.0405,0.0205,0.0306,0.0207,0.5936,0.7992
Breast Cancer,Logistic Regression,Beta,0.9947,0.0069,0.0328,0.0175,0.0204,0.013,0.529,0.8774
Breast Cancer,Logistic Regression,Isotonic,0.9894,0.0083,0.0278,0.0176,0.0229,0.0185,0.2085,0.6613
Breast Cancer,Logistic Regression,Platt,0.9947,0.0069,0.0436,0.0153,0.0206,0.0137,0.5284,1.3807
Breast Cancer,Logistic Regression,Uncalibrated,0.9947,0.0069,0.0394,0.0171,0.0207,0.0125,0.4763,1.0603
Breast Cancer,MLP,Beta,0.9905,0.0075,0.0598,0.0205,0.0362,0.0183,0.6532,0.9714
Breast Cancer,MLP,Isotonic,0.985,0.0144,0.0439,0.0165,0.0375,0.0184,0.475,0.7572
Breast Cancer,MLP,Platt,0.9905,0.0075,0.0749,0.0267,0.0365,0.0161,0.6333,1.4038
Breast Cancer,MLP,Uncalibrated,0.9905,0.0075,0.0808,0.0207,0.0377,0.0142,0.5667,1.4411
Breast Cancer,Random Forest,Beta,0.9902,0.0132,0.0454,0.0226,0.0324,0.019,0.6573,0.8021
Breast Cancer,Random Forest,Isotonic,0.973,0.0214,0.0451,0.0276,0.0371,0.0236,0.4254,0.4932
Breast Cancer,Random Forest,Platt,0.9902,0.0132,0.0635,0.0212,0.0321,0.019,0.5787,1.3624
Breast Cancer,Random Forest,Uncalibrated,0.9902,0.0132,0.0685,0.0173,0.0328,0.0155,0.5867,1.3051
Breast Cancer,SVM (RBF),Beta,0.9956,0.0058,0.0361,0.0204,0.0224,0.0158,0.5147,0.9866
Breast Cancer,SVM (RBF),Isotonic,0.9904,0.0113,0.0302,0.0215,0.0215,0.0167,0.3679,0.6932
Breast Cancer,SVM (RBF),Platt,0.9956,0.0058,0.0477,0.021,0.0211,0.015,0.4853,1.3932
Breast Cancer,SVM (RBF),Uncalibrated,0.9956,0.0058,0.0402,0.0172,0.0211,0.0133,0.499,1.1191
Cleveland Heart,Decision Tree,Beta,0.7893,0.0739,0.2356,0.0668,0.2177,0.0594,0.6533,0.1836
Cleveland Heart,Decision Tree,Isotonic,0.7893,0.0739,0.2318,0.0625,0.2188,0.0597,0.6608,0.1836
Cleveland Heart,Decision Tree,Platt,0.7893,0.0739,0.2013,0.0715,0.2073,0.0558,0.6927,0.5335
Cleveland Heart,Decision Tree,Uncalibrated,0.7893,0.0739,0.2318,0.0625,0.2188,0.0597,0.6608,0.1836
Cleveland Heart,Gradient Boosting,Beta,0.8508,0.0608,0.2122,0.0699,0.1884,0.0648,0.7526,0.2532
Cleveland Heart,Gradient Boosting,Isotonic,0.8077,0.0769,0.2156,0.0749,0.2024,0.0711,0.593,0.1781
Cleveland Heart,Gradient Boosting,Platt,0.8508,0.0608,0.1988,0.0641,0.1691,0.0553,0.717,0.6282
Cleveland Heart,Gradient Boosting,Uncalibrated,0.8508,0.0608,0.2192,0.0572,0.1662,0.0521,0.6948,0.5249
Cleveland Heart,Logistic Regression,Beta,0.9008,0.0644,0.1794,0.0366,0.126,0.0433,0.699,0.8953
Cleveland Heart,Logistic Regression,Isotonic,0.892,0.0606,0.1385,0.0285,0.132,0.0454,0.5987,0.6612
Cleveland Heart,Logistic Regression,Platt,0.9008,0.0644,0.1862,0.0285,0.1257,0.0391,0.6843,1.1297
Cleveland Heart,Logistic Regression,Uncalibrated,0.9008,0.0644,0.1788,0.0385,0.1244,0.0426,0.708,0.9274
Cleveland Heart,MLP,Beta,0.8802,0.0624,0.1909,0.0323,0.1398,0.0393,0.6651,0.9439
Cleveland Heart,MLP,Isotonic,0.8734,0.0522,0.1542,0.046,0.1431,0.0389,0.5537,0.7291
Cleveland Heart,MLP,Platt,0.8802,0.0624,0.1909,0.0382,0.1453,0.0306,0.5416,1.315
Cleveland Heart,MLP,Uncalibrated,0.8802,0.0624,0.2016,0.0499,0.1517,0.0291,0.5279,1.4009
Cleveland Heart,Random Forest,Beta,0.9082,0.0594,0.1839,0.058,0.1439,0.0544,0.8353,0.4849
Cleveland Heart,Random Forest,Isotonic,0.8357,0.0662,0.1804,0.0606,0.1677,0.0602,0.4504,0.1871
Cleveland Heart,Random Forest,Platt,0.9082,0.0594,0.1911,0.0534,0.1269,0.0453,0.65,1.0052
Cleveland Heart,Random Forest,Uncalibrated,0.9082,0.0594,0.1992,0.0477,0.1272,0.0376,0.5689,1.1912
Cleveland Heart,SVM (RBF),Beta,0.8998,0.0579,0.1634,0.0427,0.1318,0.0432,0.682,0.7562
Cleveland Heart,SVM (RBF),Isotonic,0.8895,0.0574,0.1318,0.0504,0.1349,0.0462,0.4673,0.5305
Cleveland Heart,SVM (RBF),Platt,0.8998,0.0579,0.1644,0.0363,0.1288,0.0381,0.6463,1.0322
Cleveland Heart,SVM (RBF),Uncalibrated,0.8998,0.0579,0.1779,0.0309,0.1285,0.0377,0.6624,1.0307
Early Diabetes,Decision Tree,Beta,0.963,0.0243,0.0487,0.0189,0.0396,0.0242,0.2737,0.614
Early Diabetes,Decision Tree,Isotonic,0.963,0.0243,0.0479,0.0187,0.0392,0.0242,0.2671,0.6154
Early Diabetes,Decision Tree,Platt,0.963,0.0243,0.0426,0.017,0.0376,0.0234,0.2215,1.1727
Early Diabetes,Decision Tree,Uncalibrated,0.963,0.0243,0.0479,0.0187,0.0392,0.0242,0.2671,0.6154
Early Diabetes,Gradient Boosting,Beta,0.995,0.0061,0.0236,0.0198,0.0201,0.0201,0.2783,0.7078
Early Diabetes,Gradient Boosting,Isotonic,0.982,0.0221,0.0225,0.0213,0.0205,0.0206,0.1653,0.6158
Early Diabetes,Gradient Boosting,Platt,0.995,0.0061,0.035,0.0067,0.0197,0.0183,0.2859,1.2712
Early Diabetes,Gradient Boosting,Uncalibrated,0.995,0.0061,0.0328,0.0114,0.0199,0.0178,0.339,1.0591
Early Diabetes,Logistic Regression,Beta,0.9767,0.0135,0.0802,0.0132,0.0586,0.0168,0.6992,0.9277
Early Diabetes,Logistic Regression,Isotonic,0.9766,0.0126,0.0661,0.0189,0.057,0.0156,0.5283,0.7492
Early Diabetes,Logistic Regression,Platt,0.9767,0.0135,0.0977,0.0077,0.0595,0.018,0.7005,1.2781
Early Diabetes,Logistic Regression,Uncalibrated,0.9767,0.0135,0.088,0.0138,0.0584,0.0158,0.6784,1.0437
Early Diabetes,MLP,Beta,0.9662,0.0302,0.1022,0.0274,0.0677,0.0211,0.5861,1.0854
Early Diabetes,MLP,Isotonic,0.9698,0.0277,0.0616,0.031,0.0615,0.0226,0.4022,0.9859
Early Diabetes,MLP,Platt,0.9662,0.0302,0.1202,0.0196,0.07,0.0188,0.5911,1.4479
Early Diabetes,MLP,Uncalibrated,0.9662,0.0302,0.1536,0.0374,0.0793,0.0202,0.5487,1.7739
Early Diabetes,Random Forest,Beta,0.9991,0.0017,0.0236,0.015,0.0127,0.0144,0.3881,0.9783
Early Diabetes,Random Forest,Isotonic,0.9897,0.0178,0.0175,0.0189,0.0136,0.0166,0.3043,0.6803
Early Diabetes,Random Forest,Platt,0.9991,0.0017,0.0576,0.0111,0.0147,0.0113,0.4216,1.5062
Early Diabetes,Random Forest,Uncalibrated,0.9991,0.0017,0.0645,0.0143,0.0188,0.0082,0.5027,1.5426
Early Diabetes,SVM (RBF),Beta,0.9948,0.0067,0.0343,0.0176,0.0234,0.0173,0.5737,0.945
Early Diabetes,SVM (RBF),Isotonic,0.9888,0.0144,0.0282,0.017,0.023,0.017,0.4392,0.6477
Early Diabetes,SVM (RBF),Platt,0.9948,0.0067,0.0452,0.0114,0.0217,0.0173,0.4505,1.3076
Early Diabetes,SVM (RBF),Uncalibrated,0.9948,0.0067,0.0418,0.0155,0.0209,0.0167,0.5234,1.1342
Indian Liver,Decision Tree,Beta,0.6667,0.0641,0.1701,0.031,0.2241,0.0269,0.8804,0.1366
Indian Liver,Decision Tree,Isotonic,0.6667,0.0641,0.1703,0.0311,0.2242,0.027,0.88,0.1367
Indian Liver,Decision Tree,Platt,0.6667,0.0641,0.1462,0.0336,0.2179,0.0241,0.7684,0.3621
Indian Liver,Decision Tree,Uncalibrated,0.6667,0.0641,0.1703,0.0311,0.2242,0.027,0.88,0.1367
Indian Liver,Gradient Boosting,Beta,0.7146,0.0678,0.2751,0.0481,0.2591,0.0375,0.7567,0.1363
Indian Liver,Gradient Boosting,Isotonic,0.6483,0.0668,0.2781,0.0494,0.2767,0.0429,0.6944,0.0705
Indian Liver,Gradient Boosting,Platt,0.7146,0.0678,0.2142,0.0415,0.2229,0.0334,0.7701,0.3227
Indian Liver,Gradient Boosting,Uncalibrated,0.7146,0.0678,0.1701,0.0487,0.1981,0.028,0.7213,0.4793
Indian Liver,Logistic Regression,Beta,0.7592,0.075,0.1122,0.0358,0.1705,0.018,0.4452,0.9013
Indian Liver,Logistic Regression,Isotonic,0.7439,0.0604,0.1077,0.0371,0.1763,0.019,0.5708,0.5721
Indian Liver,Logistic Regression,Platt,0.7592,0.075,0.1184,0.0269,0.1728,0.0155,0.4482,1.1831
Indian Liver,Logistic Regression,Uncalibrated,0.7592,0.075,0.1166,0.0286,0.1702,0.0165,0.4338,0.9587
Indian Liver,MLP,Beta,0.5879,0.0842,0.0857,0.0378,0.1996,0.0086,0.2873,0.6161
Indian Liver,MLP,Isotonic,0.5858,0.0627,0.0823,0.0383,0.2014,0.0118,0.486,0.4739
Indian Liver,MLP,Platt,0.5879,0.0842,0.0472,0.0386,0.201,0.0041,0.1527,0.3999
Indian Liver,MLP,Uncalibrated,0.5879,0.0842,0.1157,0.0325,0.206,0.0077,0.4143,0.6271
Indian Liver,Random Forest,Beta,0.7404,0.0704,0.2413,0.0443,0.2257,0.035,0.8536,0.215
Indian Liver,Random Forest,Isotonic,0.6515,0.0569,0.2771,0.0452,0.2704,0.0432,0.6028,0.0787
Indian Liver,Random Forest,Platt,0.7404,0.0704,0.1803,0.045,0.1874,0.0285,0.7267,0.5626
Indian Liver,Random Forest,Uncalibrated,0.7404,0.0704,0.1451,0.0505,0.175,0.0192,0.4694,0.8686
Indian Liver,SVM (RBF),Beta,0.6561,0.096,0.1416,0.0376,0.1982,0.0209,0.709,0.5971
Indian Liver,SVM (RBF),Isotonic,0.6574,0.0996,0.1536,0.0562,0.2044,0.035,0.608,0.2729
Indian Liver,SVM (RBF),Platt,0.6561,0.096,0.063,0.0349,0.1976,0.008,0.381,0.6643
Indian Liver,SVM (RBF),Uncalibrated,0.6561,0.096,0.0852,0.052,0.1964,0.0076,0.4705,0.79
Pima Diabetes,Decision Tree,Beta,0.7875,0.0765,0.1391,0.043,0.1792,0.0384,0.5279,0.3776
Pima Diabetes,Decision Tree,Isotonic,0.7875,0.0765,0.1363,0.044,0.1792,0.0384,0.5162,0.3756
Pima Diabetes,Decision Tree,Platt,0.7875,0.0765,0.1287,0.0412,0.1759,0.0356,0.4916,0.6917
Pima Diabetes,Decision Tree,Uncalibrated,0.7875,0.0765,0.1363,0.044,0.1792,0.0384,0.5162,0.3756
Pima Diabetes,Gradient Boosting,Beta,0.8326,0.0598,0.2042,0.0501,0.19,0.0416,0.8159,0.2745
Pima Diabetes,Gradient Boosting,Isotonic,0.8021,0.064,0.1964,0.0419,0.1953,0.042,0.7098,0.1717
Pima Diabetes,Gradient Boosting,Platt,0.8326,0.0598,0.1732,0.0531,0.176,0.0381,0.7433,0.5213
Pima Diabetes,Gradient Boosting,Uncalibrated,0.8326,0.0598,0.1484,0.041,0.1615,0.032,0.7408,0.7055
Pima Diabetes,Logistic Regression,Beta,0.8378,0.0516,0.1364,0.0336,0.1569,0.0221,0.5461,0.9712
Pima Diabetes,Logistic Regression,Isotonic,0.8371,0.048,0.0981,0.0306,0.1574,0.0212,0.3943,0.7963
Pima Diabetes,Logistic Regression,Platt,0.8378,0.0516,0.142,0.0212,0.1588,0.0198,0.5778,1.0866
Pima Diabetes,Logistic Regression,Uncalibrated,0.8378,0.0516,0.1308,0.0261,0.157,0.022,0.6144,0.9715
Pima Diabetes,MLP,Beta,0.8208,0.057,0.1392,0.0222,0.1627,0.0254,0.5072,0.9362
Pima Diabetes,MLP,Isotonic,0.818,0.0578,0.1165,0.0328,0.1646,0.0267,0.4884,0.7875
Pima Diabetes,MLP,Platt,0.8208,0.057,0.1252,0.0217,0.1647,0.0241,0.4394,1.2387
Pima Diabetes,MLP,Uncalibrated,0.8208,0.057,0.1301,0.0354,0.1687,0.0234,0.3918,1.4283
Pima Diabetes,Random Forest,Beta,0.836,0.0488,0.2018,0.0415,0.1879,0.0424,0.7831,0.2976
Pima Diabetes,Random Forest,Isotonic,0.8123,0.0542,0.1927,0.0442,0.1991,0.0456,0.6954,0.1728
Pima Diabetes,Random Forest,Platt,0.836,0.0488,0.1538,0.0335,0.1669,0.0328,0.6547,0.6371
Pima Diabetes,Random Forest,Uncalibrated,0.836,0.0488,0.1186,0.0209,0.1572,0.021,0.388,1.0945
Pima Diabetes,SVM (RBF),Beta,0.8243,0.0401,0.1397,0.0269,0.1684,0.0278,0.5151,0.7212
Pima Diabetes,SVM (RBF),Isotonic,0.8223,0.0392,0.1186,0.0411,0.1654,0.0235,0.5338,0.5394
Pima Diabetes,SVM (RBF),Platt,0.8243,0.0401,0.1397,0.018,0.167,0.0237,0.5707,0.8507
Pima Diabetes,SVM (RBF),Uncalibrated,0.8243,0.0401,0.1324,0.0199,0.1632,0.0204,0.5342,1.0075
